id,base_instance_id,campus,size,crew_q,n_wos,window_bh,n_technicians,n_technicians_base,u_realized,u_realized_base,u_shift,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl302,302,1,8.0,31.0486,3.082412,0.006666666666666667,0.026474097976461053
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl303,303,1,8.0,31.0486,3.082412,0.006666666666666667,0.02706064493395388
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl304,304,1,8.0,31.0486,3.0193373333333335,0.006666666666666667,0.027319413027726114
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl305,305,1,8.0,31.0486,3.077674666666667,0.006666666666666667,0.026751514058560133
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl306,306,1,8.0,31.0486,3.082412,0.006666666666666667,0.026942010037600994
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl307,307,1,8.0,31.0486,3.0208106666666668,0.006666666666666667,0.026757232029922307
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl308,308,1,8.0,31.0486,3.043870666666667,0.006666666666666667,0.026836749049834907
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl309,309,1,8.0,31.0486,3.046253333333333,0.006666666666666667,0.02679179492406547
c01_final_150_0002_q75,c01_final_150_0002,1,150,0.75,150,16.0,60,94,0.420573,0.268451,0.152122,v2rl310,310,1,8.0,31.0486,3.033853333333333,0.006666666666666667,0.026065153069794178
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,edd,301,1,8.0,31.0486,2.8460793333333334,0.006666666666666667,0.0004102459643036127
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,pfifo,301,1,8.0,31.0486,2.8460793333333334,0.006666666666666667,0.00041828001849353313
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,wspt,301,1,8.0,31.0486,2.8283519999999998,0.006666666666666667,0.000343614025041461
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,atc,301,1,8.0,31.0486,2.828696,0.006666666666666667,0.000469914055429399
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,wmdd,301,1,8.0,31.0486,2.8460793333333334,0.006666666666666667,0.0003701249370351434
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,lpt,301,1,8.0,31.0486,2.885622,0.006666666666666667,0.0003289940068498254
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,random,301,1,8.0,31.0486,2.8412533333333334,0.006666666666666667,0.00033802492544054985
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl301,301,1,8.0,31.0486,2.860564666666667,0.006666666666666667,0.02711082703899592
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl302,302,1,8.0,31.0486,2.860564666666667,0.006666666666666667,0.026088896906003356
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl303,303,1,8.0,31.0486,2.860564666666667,0.006666666666666667,0.02661738998722285
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl304,304,1,8.0,31.0486,2.8458273333333333,0.006666666666666667,0.026962009025737643
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl305,305,1,8.0,31.0486,2.8520513333333337,0.006666666666666667,0.02649088203907013
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl306,306,1,8.0,31.0486,2.860564666666667,0.006666666666666667,0.026633197907358408
c01_final_150_0002_q90,c01_final_150_0002,1,150,0.9,150,16.0,80,94,0.31543,0.268451,0.046979,v2rl307,307,1,8.0,31.0486,2.8381,0.006666666666666667,0.026434303959831595
