update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
290,-3.706070,410.680213,0.389720,1.591198,1.059
291,-3.560037,410.680213,0.518721,1.159045,0.774
292,-2.774735,410.680213,0.535516,1.377497,1.039
293,-2.318416,410.680213,0.551874,1.152532,0.753
294,-3.361828,410.680213,0.274802,1.543248,1.020
295,-2.196034,410.680213,0.953301,0.543972,0.809
296,-2.889645,410.680213,0.612804,1.134519,1.018
297,-2.694711,410.680213,0.565727,1.098280,0.775
298,-3.162086,410.680213,0.305157,1.415106,1.017
299,-3.991696,410.680213,0.341358,1.775176,0.761
300,-2.049057,410.680213,0.490904,0.528012,1.898
301,-3.136875,410.680213,0.343327,1.508490,0.748
302,-2.767928,410.680213,0.447588,1.524851,1.052
303,-2.690409,410.680213,0.763921,1.525175,0.810
304,-2.259341,410.680213,0.839435,0.965193,1.077
305,-2.824497,410.680213,0.714680,0.811366,0.814
306,-4.514149,410.680213,0.343347,2.150956,1.004
307,-2.065462,410.680213,0.462077,1.586890,0.742
308,-2.660522,410.680213,0.602389,1.218816,1.063
309,-2.527778,410.680213,0.599321,0.897628,0.780
310,-3.073374,410.680213,0.276452,1.288164,1.035
311,-1.339201,410.680213,0.599444,0.784430,0.747
312,-2.385537,410.680213,0.417304,1.056542,1.058
313,-3.190021,410.680213,0.649425,1.259044,0.794
314,-2.108134,410.680213,0.789074,0.840343,1.054
315,-2.404984,410.680213,0.465972,0.717225,0.786
316,-2.432278,410.680213,0.663447,0.572320,1.032
317,-2.730030,410.680213,0.667630,0.968285,0.741
318,-2.538914,410.680213,0.788257,1.413043,1.012
319,-3.725513,410.680213,0.883885,1.642986,0.808
320,-3.339129,410.680213,0.436697,1.541543,1.896
321,-2.076364,410.680213,0.808669,0.766906,0.803
322,-3.225813,410.680213,0.667373,1.387260,1.035
323,-2.254121,410.680213,0.663445,0.616670,0.767
324,-2.300022,410.680213,0.816721,1.131223,1.032
325,-2.192644,410.680213,0.863021,0.905578,0.770
326,-2.085716,410.680213,0.854333,0.942056,1.027
327,-1.163874,410.680213,0.699342,1.356803,0.786
328,-4.181624,410.680213,0.702181,1.238653,1.025
329,-2.488359,410.680213,0.333290,0.904425,0.730
330,-4.114726,410.680213,0.615707,2.400183,1.020
331,-3.139018,410.680213,0.832688,2.173349,0.769
332,-2.780609,410.680213,0.476052,1.692087,1.021
333,-3.481674,410.680213,0.499616,1.452594,0.758
334,-1.701990,410.680213,0.652604,1.176952,1.030
335,-2.869151,410.680213,0.609538,1.039930,0.779
336,-4.692078,410.680213,0.631536,2.082599,0.991
337,-2.568831,410.680213,0.658620,1.251996,0.752
338,-2.764844,410.680213,0.820876,1.175904,1.022
339,-2.920264,410.680213,0.852846,1.271741,0.776
340,-4.460628,410.680213,0.410875,2.130909,1.914
341,-1.953813,410.680213,0.474896,1.348142,0.737
342,-3.208250,410.680213,0.460537,1.364012,1.003
343,-1.913276,410.680213,0.610033,1.546782,0.768
344,-4.795627,410.680213,0.576003,2.162669,1.042
345,-5.023900,410.680213,0.620626,3.668126,0.770
346,-2.024604,410.680213,0.628918,1.213577,1.005
347,-2.678085,410.680213,0.610096,1.623466,0.743
348,-4.215634,410.680213,0.862721,2.374035,1.166
349,-1.226960,410.680213,0.592177,0.439891,0.736
350,-2.996641,410.680213,0.586223,1.255726,1.019
351,-1.481864,410.680213,0.502411,0.637825,0.754
352,-1.364139,410.680213,0.524437,0.607069,1.035
353,-3.361590,410.680213,0.414750,0.958292,0.710
354,-2.854566,410.680213,0.527071,0.985245,1.042
355,-1.026419,410.680213,0.656724,0.779554,0.731
356,-3.049807,410.680213,0.506306,1.214932,1.044
357,-5.068744,410.680213,0.464827,2.673057,0.789
