id,base_instance_id,campus,size,transform,backdate_seed,max_shift_frac,n_wos,n_corrective,corrective_share,mean_delta_bh,max_delta_bh,n_clamped_at_zero,window_bh,u_realized,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl308,308,1,0.0,17.0,3.3426340000000003,0.0,0.028216773993335664
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl309,309,1,0.0,17.0,3.3426340000000003,0.0,0.02805495006032288
c01_final_150_0004_bd,c01_final_150_0004,1,150,backdate,424242,0.5,150,26,0.173333,8.2948,35.1227,26,1.0,3.010638,v2rl310,310,1,0.0,17.0,3.193710000000001,0.0,0.027917884988710284
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,edd,301,1,41.729600000000005,90.8648,4.497090666666666,0.013333333333333334,0.0006950870156288147
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,pfifo,301,1,41.729600000000005,90.8648,4.497090666666666,0.013333333333333334,0.0018477730918675661
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,wspt,301,1,41.729600000000005,90.8648,4.177413333333333,0.013333333333333334,0.0007011709967628121
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,atc,301,1,41.729600000000005,90.8648,4.177413333333333,0.013333333333333334,0.0011291230330243707
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,wmdd,301,1,41.729600000000005,90.8648,4.497090666666666,0.013333333333333334,0.0008507349994033575
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,lpt,301,1,41.729600000000005,90.8648,4.88401,0.013333333333333334,0.00042330403812229633
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,random,301,1,41.729600000000005,90.8648,4.413665333333333,0.013333333333333334,0.0003326289588585496
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl301,301,1,41.729600000000005,90.8648,4.85548,0.013333333333333334,0.028313518967479467
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl302,302,1,41.729600000000005,90.8648,4.85548,0.013333333333333334,0.02767846907954663
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl303,303,1,41.729600000000005,90.8648,4.85548,0.013333333333333334,0.027389719965867698
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl304,304,1,41.729600000000005,90.8648,4.447503333333334,0.013333333333333334,0.027660959982313216
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl305,305,1,41.729600000000005,90.8648,4.842146666666666,0.013333333333333334,0.027339315973222256
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl306,306,1,41.729600000000005,90.8648,4.85548,0.013333333333333334,0.028212634031660855
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl307,307,1,41.729600000000005,90.8648,4.400394,0.013333333333333334,0.028348708990961313
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl308,308,1,41.729600000000005,90.8648,4.802146666666666,0.013333333333333334,0.028474635095335543
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl309,309,1,41.729600000000005,90.8648,4.85548,0.013333333333333334,0.028306172927841544
c01_final_150_0005_bd,c01_final_150_0005,1,150,backdate,424242,0.5,150,43,0.286667,12.6968,56.8578,26,16.0,0.321054,v2rl310,310,1,41.729600000000005,90.8648,4.445429333333333,0.013333333333333334,0.02810088498517871
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,edd,301,1,292.0,93.8092,4.429330000000001,0.013333333333333334,0.00043428607750684023
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,pfifo,301,1,292.0,93.8092,4.429330000000001,0.013333333333333334,0.00039503700099885464
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,wspt,301,1,298.0,93.8092,4.405444666666667,0.013333333333333334,0.0003629180137068033
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,atc,301,1,292.0,93.8092,4.4159966666666675,0.013333333333333334,0.000527743948623538
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,wmdd,301,1,292.0,93.8092,4.429330000000001,0.013333333333333334,0.000400710036046803
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,lpt,301,1,292.0,93.8092,4.479087333333333,0.013333333333333334,0.00033304106909781694
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,random,301,1,292.0,93.8092,4.422907333333334,0.013333333333333334,0.0003097350709140301
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl301,301,1,292.0,93.8092,4.459087333333334,0.013333333333333334,0.027629811083897948
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl302,302,1,292.0,93.8092,4.459087333333334,0.013333333333333334,0.026750946999527514
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl303,303,1,292.0,93.8092,4.459087333333334,0.013333333333333334,0.02649210498202592
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl304,304,1,292.0,93.8092,4.422663333333334,0.013333333333333334,0.026940506999380887
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl305,305,1,292.0,93.8092,4.459087333333334,0.013333333333333334,0.026319371070712805
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl306,306,1,292.0,93.8092,4.459087333333334,0.013333333333333334,0.026923679979518056
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl307,307,1,292.0,93.8092,4.422663333333334,0.013333333333333334,0.02729042002465576
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl308,308,1,292.0,93.8092,4.459087333333334,0.013333333333333334,0.02735882007982582
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl309,309,1,292.0,93.8092,4.455754,0.013333333333333334,0.02722789696417749
c01_final_150_0006_bd,c01_final_150_0006,1,150,backdate,424242,0.5,150,115,0.766667,9.0116,67.4413,56,15.3353,0.439894,v2rl310,310,1,292.0,93.8092,4.446236666666667,0.013333333333333334,0.026986553915776312
c01_final_150_0007_bd,c01_final_150_0007,1,150,backdate,424242,0.5,150,137,0.913333,10.3363,78.9785,63,17.2303,0.443294,edd,301,1,36.0,98.85340000000001,5.119976666666666,0.006666666666666667,0.0007960420334711671
c01_final_150_0007_bd,c01_final_150_0007,1,150,backdate,424242,0.5,150,137,0.913333,10.3363,78.9785,63,17.2303,0.443294,pfifo,301,1,36.0,98.85340000000001,5.119976666666666,0.006666666666666667,0.0007216599769890308
