arm,rule,dropped,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,verdict,full_mean_diff,full_ci_lo,full_ci_hi,full_margin,full_verdict,delta_vs_full,verdict_changed
q0.90,atc,c02_final_150_0003,16,16,1869.4081375000003,1561.4202625000003,-307.98787500000003,-703.50137,-7.703991562500054,18.694081375000003,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-18.116933823529394,0
q0.90,atc,c02_final_150_0004,16,16,1843.2678375000003,1535.2799625000002,-307.98787500000003,-714.5102578125001,-9.63182125000007,18.432678375000002,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-18.116933823529394,0
q0.90,atc,c02_final_150_0005,16,16,1879.9162375000003,1571.9283625000003,-307.98787500000003,-714.413519375,-10.036855000000124,18.799162375000005,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-18.116933823529394,0
q0.90,atc,c02_final_150_0006,16,16,1739.0354875000003,1467.1193875000001,-271.91610000000003,-694.9726621875,26.709982812500023,17.390354875000003,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,17.95484117647061,0
q0.90,atc,c02_final_150_0007,16,16,1603.0686500000002,1377.2628375000002,-225.80581249999994,-618.4812243749999,23.90123468749993,16.0306865,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,64.06512867647069,0
q0.90,atc,c02_final_150_0008,16,16,1814.8207875000003,1505.1862500000002,-309.6345375000001,-717.9833874999999,-12.790322812500044,18.148207875000004,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-19.76359632352944,0
q0.90,atc,c02_final_150_0009,16,16,1802.3726375,1483.5189625000003,-318.85367500000007,-710.649428125,-20.730088125000062,18.023726375000003,better,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-28.98273382352943,1
q0.90,atc,c02_final_150_0010,16,16,1851.2775375,1541.5779625,-309.6995750000001,-707.1663121875,-11.722860312499986,18.512775375,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-19.828633823529458,0
q0.90,atc,c02_final_150_0011,16,16,1713.7205375000003,1405.4499,-308.2706375000001,-720.5307746875,-19.12977000000014,17.137205375000004,better,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-18.39969632352944,1
q0.90,atc,c02_final_150_0012,16,16,1783.0689500000003,1472.3761,-310.6928500000001,-708.5923640624999,-11.577192500000072,17.830689500000002,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-20.82190882352944,0
q0.90,atc,c02_final_150_0013,16,16,1702.3535124999999,1438.7843125,-263.56919999999997,-671.8339940624996,24.19428093749993,17.023535125,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,26.30174117647067,0
q0.90,atc,c02_final_150_0014,16,16,1674.478525,1370.3415125000001,-304.1370125,-711.4067259374997,-7.355460937499957,16.74478525,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-14.266071323529388,0
q0.90,atc,c02_final_150_0015,16,16,1834.1881375000003,1525.8627625000001,-308.325375,-720.3697774999999,-12.601067187500098,18.341881375000003,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,-18.45443382352937,0
q0.90,atc,c02_final_150_0016,16,16,1541.0048125000003,1404.5379625,-136.46685000000008,-345.3996100000002,23.786476874999995,15.410048125000003,inconclusive,-289.87094117647064,-689.2603388235291,-9.212510588235434,17.701799882352944,inconclusive,153.40409117647056,0
q0.90,wspt,c02_final_150_0000,16,16,1788.2815500000002,1516.854825,-271.42672500000015,-681.1948499999996,22.962425312499903,17.882815500000003,inconclusive,-250.6325882352942,-627.4521052941177,28.57780911764699,17.701799882352944,inconclusive,-20.79413676470594,0
q0.90,wspt,c02_final_150_0001,16,16,1826.0305750000002,1553.150125,-272.8804500000001,-679.1291078124997,19.284600312499922,18.260305750000004,inconclusive,-250.6325882352942,-627.4521052941177,28.57780911764699,17.701799882352944,inconclusive,-22.247861764705902,0
q0.90,wspt,c02_final_150_0002,16,16,1826.7658875000002,1554.6245625,-272.14132500000017,-669.3453953125002,23.05069937499993,18.267658875000002,inconclusive,-250.6325882352942,-627.4521052941177,28.57780911764699,17.701799882352944,inconclusive,-21.508736764705958,0
