arm,rule,cluster,id,wwt_rule,wwt_edd,paired_diff,share_of_total
q0.75,atc,c02_final_150_0010,c02_final_150_0010_q75,673.1260000000001,593.7652,79.36080000000004,-0.0016672829942183036
q0.75,atc,c02_final_150_0011,c02_final_150_0011_q75,4799.5242,10063.806600000004,-5264.282400000004,0.11059677475885726
q0.75,atc,c02_final_150_0012,c02_final_150_0012_q75,2380.7724000000003,3353.226200000001,-972.4538000000007,0.020430183206355878
q0.75,atc,c02_final_150_0013,c02_final_150_0013_q75,4017.9147,11294.113600000002,-7276.198900000003,0.15286492435207213
q0.75,atc,c02_final_150_0014,c02_final_150_0014_q75,6666.969399999999,13683.634399999994,-7016.6649999999945,0.14741240298266597
q0.75,atc,c02_final_150_0015,c02_final_150_0015_q75,778.0432000000002,767.1364000000001,10.90680000000009,-0.00022913985445384034
q0.75,atc,c02_final_150_0016,c02_final_150_0016_q75,6348.393999999999,14860.481800000003,-8512.087800000005,0.17882958884276737
q0.75,wspt,c02_final_150_0000,c02_final_150_0000_q75,2612.0686,3195.594399999999,-583.525799999999,0.012885853208849945
q0.75,wspt,c02_final_150_0001,c02_final_150_0001_q75,2118.5707999999995,3167.882199999999,-1049.3113999999996,0.02317167924841172
q0.75,wspt,c02_final_150_0002,c02_final_150_0002_q75,1660.5258,2296.2591999999995,-635.7333999999996,0.014038740484761933
q0.75,wspt,c02_final_150_0003,c02_final_150_0003_q75,249.8162,206.0562,43.76000000000002,-0.0009663410536762467
q0.75,wspt,c02_final_150_0004,c02_final_150_0004_q75,762.961,759.961,3.0,-6.624824408200957e-05
q0.75,wspt,c02_final_150_0005,c02_final_150_0005_q75,218.40000000000003,149.06720000000007,69.33279999999996,-0.001531058752429717
q0.75,wspt,c02_final_150_0006,c02_final_150_0006_q75,3094.616,8539.420399999999,-5444.804399999999,0.12023624362333321
q0.75,wspt,c02_final_150_0007,c02_final_150_0007_q75,6779.961200000001,14536.0766,-7756.1154,0.17127634204914444
q0.75,wspt,c02_final_150_0008,c02_final_150_0008_q75,1320.2202000000002,1136.0600000000002,184.16020000000003,-0.0040667632932639
q0.75,wspt,c02_final_150_0009,c02_final_150_0009_q75,4627.5068,7107.267400000001,-2479.7606000000005,0.054759928497916846
q0.75,wspt,c02_final_150_0010,c02_final_150_0010_q75,867.7124000000001,593.7652,273.94720000000007,-0.006049506990394366
q0.75,wspt,c02_final_150_0011,c02_final_150_0011_q75,4729.261999999999,10063.806600000004,-5334.544600000005,0.11780140424238882
q0.75,wspt,c02_final_150_0012,c02_final_150_0012_q75,3070.1812,3353.226200000001,-283.045000000001,0.006250411415397488
q0.75,wspt,c02_final_150_0013,c02_final_150_0013_q75,4150.7479,11294.113600000002,-7143.365700000002,0.15774514482021842
q0.75,wspt,c02_final_150_0014,c02_final_150_0014_q75,6923.015799999999,13683.634399999994,-6760.618599999994,0.14929303705272448
q0.75,wspt,c02_final_150_0015,c02_final_150_0015_q75,799.0432000000002,767.1364000000001,31.90680000000009,-0.000704589824758623
q0.75,wspt,c02_final_150_0016,c02_final_150_0016_q75,6440.9806,14860.481800000003,-8419.501200000002,0.18592572351545755
