check,arm,stratum,method,reference,reference_role,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
sla,baseline,verdict,v2rl309,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.95305222222225,0.27203555555555725,0.02955555555555551,0.6385511111111163,4.446810166666667,0.043114446783075355,0.3880300210476782,equivalent
sla,baseline,verdict,v2rl310,v2rl302,baseline_best,policy-vs-policy,180,180,444.6810166666667,444.7120755555556,0.031058888888890836,-0.003246666666665574,0.08191333333333752,4.446810166666667,0.27332167829229814,0.4352377201621827,equivalent
sla,baseline,campus1,edd,atc,baseline_best,rule-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,pfifo,atc,baseline_best,rule-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,wspt,atc,baseline_best,rule-vs-rule,30,30,80.41734666666666,81.29713333333332,0.8797866666666664,0.0,2.292906666666666,1.0,0.17971249487899976,1.0,inconclusive
sla,baseline,campus1,wmdd,atc,baseline_best,rule-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,lpt,atc,baseline_best,rule-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,random,atc,baseline_best,rule-vs-rule,30,30,80.41734666666666,81.12109333333335,0.7037466666666667,0.0,1.7748666666666664,1.0,0.17971249487899976,1.0,inconclusive
sla,baseline,campus1,v2rl301,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl302,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl303,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl304,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl305,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl306,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl307,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl308,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl309,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus1,v2rl310,atc,baseline_best,policy-vs-rule,30,30,80.41734666666666,80.41734666666666,0.0,0.0,0.0,1.0,1.0,1.0,equivalent
sla,baseline,campus2,edd,wmdd,baseline_best,rule-vs-rule,17,17,1218.2288470588235,1311.322141176471,93.09329411764713,-17.007601176470477,239.31169088235296,12.182288470588235,0.8588630128278887,1.0,inconclusive
sla,baseline,campus2,pfifo,wmdd,baseline_best,rule-vs-rule,17,17,1218.2288470588235,1311.322141176471,93.09329411764713,-15.29457823529409,237.70725411764712,12.182288470588235,0.8588630128278887,1.0,inconclusive
sla,baseline,campus2,wspt,wmdd,baseline_best,rule-vs-rule,17,17,1218.2288470588235,1291.2388588235294,73.01001176470588,35.7204076470588,115.39986529411765,12.182288470588235,0.0014737808438751421,0.008842685063250852,worse
sla,baseline,campus2,atc,wmdd,baseline_best,rule-vs-rule,17,17,1218.2288470588235,1252.115717647059,33.88687058823534,12.625290588235343,60.053827058823636,12.182288470588235,0.004741768038406972,0.014225304115220917,worse
sla,baseline,campus2,lpt,wmdd,baseline_best,rule-vs-rule,17,17,1218.2288470588235,2615.1118352941176,1396.8829882352936,675.0451111764708,2236.532979117647,12.182288470588235,0.0018714329102470324,0.009357164551235163,worse
sla,baseline,campus2,random,wmdd,baseline_best,rule-vs-rule,17,17,1218.2288470588235,1636.0305647058824,417.80171764705887,218.47261852941176,656.4549661764707,12.182288470588235,0.0018714329102470324,0.009357164551235163,worse
sla,baseline,campus2,v2rl301,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1851.2520352941176,633.0231882352942,222.08816058823527,1138.3640623529411,12.182288470588235,0.012063323418854825,0.08444326393198377,worse
sla,baseline,campus2,v2rl302,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1420.4514,202.22255294117647,66.42167617647058,364.7043323529411,12.182288470588235,0.012063323418854825,0.08444326393198377,worse
sla,baseline,campus2,v2rl303,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,2171.692823529412,953.4639764705884,462.9542152941177,1514.7881914705883,12.182288470588235,0.0028734139278525227,0.028734139278525226,worse
sla,baseline,campus2,v2rl304,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1447.724082352941,229.49523529411763,31.372878529411782,523.2501008823526,12.182288470588235,0.08437944259396049,0.2531383277818815,worse
sla,baseline,campus2,v2rl305,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1720.644105882353,502.4152588235294,183.05293558823524,933.1687488235293,12.182288470588235,0.004741768038406972,0.04267591234566275,worse
sla,baseline,campus2,v2rl306,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1863.508082352941,645.2792352941175,254.14840705882358,1107.5835826470582,12.182288470588235,0.004741768038406972,0.04267591234566275,worse
sla,baseline,campus2,v2rl307,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1751.246494117647,533.0176470588236,187.27267794117662,967.5648288235292,12.182288470588235,0.012063323418854825,0.08444326393198377,worse
sla,baseline,campus2,v2rl308,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1494.214529411765,275.98568235294124,17.31326205882362,686.7677526470588,12.182288470588235,0.13609738111439368,0.27219476222878736,worse
sla,baseline,campus2,v2rl309,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1453.0060823529411,234.7772352941176,56.65683470588241,525.9131049999997,12.182288470588235,0.012063323418854825,0.08444326393198377,worse
sla,baseline,campus2,v2rl310,wmdd,baseline_best,policy-vs-rule,17,17,1218.2288470588235,1324.8887411764708,106.65989411764711,9.441439411764689,227.98452088235308,12.182288470588235,0.15793931050013033,0.27219476222878736,inconclusive
sla,emg,verdict,edd,v2rl302,baseline_best,rule-vs-policy,180,180,633.3334088888888,633.4016055555555,0.0681966666666731,-0.1947384722222195,0.3075219444444547,6.333334088888888,0.3822067676889094,0.7644135353778188,equivalent
