id,base_instance_id,campus,size,p_model,n_wos,window_bh,n_technicians,u_realized,wo_set_equals_sum,r4_labor_cap_hours,method,seed,feasible,wwt,makespan,mean_flow,breach_share,wall_seconds
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl307,307,1,0.0,40.2869,3.2790500000000007,0.0,0.028104191995225847
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl308,308,1,0.0,40.2869,3.7227900000000007,0.0,0.02899679692927748
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl309,309,1,0.0,40.2869,3.7294566666666666,0.0,0.028172938036732376
c01_final_150_0001_pone,c01_final_150_0001,1,150,single,150,3.1106,75,1.363081,1,40.0,v2rl310,310,1,0.0,40.2869,3.4421139999999997,0.0,0.028046887018717825
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,edd,301,1,8.0,31.0486,2.735842,0.006666666666666667,0.0008525740122422576
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,pfifo,301,1,8.0,31.0486,2.735842,0.006666666666666667,0.00039240194018930197
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,wspt,301,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,0.0003457319689914584
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,atc,301,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,0.00046241097152233124
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,wmdd,301,1,8.0,31.0486,2.735842,0.006666666666666667,0.0003602640936151147
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,lpt,301,1,8.0,31.0486,2.755767333333333,0.006666666666666667,0.0003318249946460128
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,random,301,1,8.0,31.0486,2.7541006666666665,0.006666666666666667,0.00034512102138251066
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl301,301,1,8.0,31.0486,2.754541333333333,0.006666666666666667,0.027181879966519773
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl302,302,1,8.0,31.0486,2.754541333333333,0.006666666666666667,0.026290507055819035
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl303,303,1,8.0,31.0486,2.754541333333333,0.006666666666666667,0.02632889396045357
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl304,304,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,0.025739465025253594
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl305,305,1,8.0,31.0486,2.746028,0.006666666666666667,0.025670877075754106
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl306,306,1,8.0,31.0486,2.754541333333333,0.006666666666666667,0.025408203015103936
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl307,307,1,8.0,31.0486,2.7344340000000003,0.006666666666666667,0.025932776974514127
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl308,308,1,8.0,31.0486,2.746028,0.006666666666666667,0.02602014201693237
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl309,309,1,8.0,31.0486,2.754541333333333,0.006666666666666667,0.025530658080242574
c01_final_150_0002_psum,c01_final_150_0002,1,150,sum,150,16.0,94,0.268451,1,90.8648,v2rl310,310,1,8.0,31.0486,2.746028,0.006666666666666667,0.025523285963572562
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,edd,301,1,8.0,31.0486,2.8125020000000003,0.006666666666666667,0.0005207899957895279
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,pfifo,301,1,8.0,31.0486,2.8125020000000003,0.006666666666666667,0.0004409330431371927
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,wspt,301,1,8.0,31.0486,2.7900413333333334,0.006666666666666667,0.00041642796713858843
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,atc,301,1,8.0,31.0486,2.790385333333333,0.006666666666666667,0.0005751210264861584
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,wmdd,301,1,8.0,31.0486,2.8125020000000003,0.006666666666666667,0.0004501879448071122
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,lpt,301,1,8.0,31.0486,2.831878,0.006666666666666667,0.0003930439706891775
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,random,301,1,8.0,31.0486,2.812048,0.006666666666666667,0.000395915936678648
c01_final_150_0002_pmax,c01_final_150_0002,1,150,max,150,16.0,80,0.31543,1,43.881,v2rl301,301,1,8.0,31.0486,2.8199553333333336,0.006666666666666667,0.02774774795398116
