scope,u_bin,ov_band,n_configs,n_clusters,mean_u,mean_overload_share,mean_wwt_edd,mean_wwt_best,best_method,margin_edd,mean_d_wmdd,d_wmdd_ci_lo,d_wmdd_ci_hi,mean_d_atc,d_atc_ci_lo,d_atc_ci_hi,verdict_wmdd_vs_edd,verdict_atc_vs_edd,mean_edd_minus_best,edd_best_ci_lo,edd_best_ci_hi,verdict_edd_vs_best,recommended_family
all,0.8-1.0,>=0.75,38,31,0.9119168144699975,0.8377843318102972,286.11205789473684,285.166047368421,atc,2.8611205789473684,-0.2595052631579021,-0.7165294117647082,0.0,0.9460105263157923,-0.8348449549549734,4.102549904761947,equivalent,inconclusive,0.9460105263157923,-0.8267245707472304,4.059122222222249,inconclusive,due-date
all,1.0-1.2,0.25-0.5,8,7,1.0649934540361423,0.44683946040301303,409.85220000000004,402.3306,v2rl301,4.098522000000001,-3.6572999999999922,-8.777519999999981,0.0,-4.130049999999997,-8.306759999999997,0.0,inconclusive,inconclusive,7.5216000000000065,0.0,18.051840000000016,inconclusive,insufficient
all,1.0-1.2,0.5-0.75,67,64,1.0737347073250985,0.6895400007145055,2715.770713432836,2715.4766955223886,v2rl304,27.157707134328362,-16.01097910447717,-27.04413584615302,-6.834662679602049,-13.718119402985,-26.283706840795816,-0.9164577536230762,equivalent,equivalent,0.2940179104477085,-6.2512085447760315,6.42571480277181,equivalent,either
all,1.0-1.2,>=0.75,80,75,1.0985069983151519,0.852474033876774,2071.65289,2059.3871475000005,v2rl310,20.7165289,-23.223625000000233,-38.637920567333424,-9.926609951298577,-27.05551250000035,-45.22182848897165,-12.127839808362532,inconclusive,inconclusive,12.26574249999986,1.4473874390243127,24.423311715980326,inconclusive,due-date
all,>=1.2,0.5-0.75,30,21,1.3949729874378702,0.7063776234654658,782.5098800000001,764.5917400000002,wmdd,7.825098800000001,17.918139999999994,-6.218663880308877,71.04889979166667,14.848553333333347,-10.149429513546805,63.9204280769231,inconclusive,inconclusive,17.918139999999994,-6.034166818181837,70.31998419999992,inconclusive,due-date
all,>=1.2,>=0.75,272,132,2.492841811293196,0.9308276829511863,1559.6387643382352,1373.4725227941174,wmdd,15.596387643382352,186.1662415441176,59.85798604033976,345.70875294165756,185.44365624999986,56.72542163156002,347.5219486059478,better,better,186.1662415441176,57.57823306153096,343.4428753912034,worse,weighted
replay_only,<0.5,<0.25,268,91,0.3511707290082327,0.04068167334081684,244.35436641791046,244.31549850746273,v2rl310,2.4435436641791046,-0.4452462686567182,-1.0710681987823139,-0.05734767025089606,-0.483288059701493,-1.1439818008680909,-0.05165576839591932,equivalent,equivalent,0.03886791044776126,0.0007288888888888744,0.10228566916588577,equivalent,either
replay_only,<0.5,0.25-0.5,31,19,0.39559336541282675,0.3229180835479531,85.55664516129033,85.19966451612903,v2rl301,1.0,-0.29246451612903185,-1.0461230769230754,0.0,-0.421496774193548,-1.507661538461537,0.0,inconclusive,inconclusive,0.3569806451612899,0.0,1.2768923076923062,inconclusive,due-date
replay_only,<0.5,0.5-0.75,4,3,0.45080949378273777,0.5750592275705355,624.4592,624.4592,atc,6.244592,0.0,0.0,0.0,0.0,0.0,0.0,equivalent,equivalent,0.0,0.0,0.0,equivalent,insufficient
replay_only,0.5-0.8,<0.25,115,68,0.5946471038069088,0.11267049700743019,589.980307826087,589.4600139130433,v2rl310,5.89980307826087,-1.263222608695661,-2.58099277273743,-0.2757960858337442,-1.5845808695652182,-3.4059137583749113,-0.29773850000000185,equivalent,equivalent,0.5202939130434787,0.09179717349726876,1.1156444637288143,equivalent,either
