analysis,scope_type,scope,family,reference,n_configs,n_clusters_base,n_clusters_component,mean_ref,mean_diff,ci_lo_base,ci_hi_base,verdict_base,ci_lo_component,ci_hi_component,verdict_component,ci_width_base,ci_width_component,width_ratio,verdict_changed
cluster,emp_pooled,ALL,attn_pool,edd,587,227,186,453.97671345826234,5.206998126064735,2.1360522712953625,9.255917424929018,inconclusive,2.089899330487735,9.251178606644483,inconclusive,7.119865153633656,7.1612792761567485,1.005816700405057,0
cluster,emp_pooled,ALL,v1_pool,edd,587,227,186,453.97671345826234,7.83034378194208,1.9883578480134891,15.6736367747503,inconclusive,1.986794246340528,15.94308467369475,inconclusive,13.68527892673681,13.956290427354222,1.019803140445164,0
cluster,emp_pooled,ALL,rollcp2,edd,160,64,54,515.9453837499999,-5.536109999999998,-16.1593942042297,1.33749915625001,inconclusive,-16.690506061154018,1.3203766819060379,inconclusive,17.49689336047971,18.010882743060055,1.0293760367621199,0
size,emp_m_size,m=1.0|size=150,pfifo,edd,120,120,,204.77357333333336,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=1.0|size=150,wspt,edd,120,120,,204.77357333333336,0.7766666666666666,0.13866666666666655,1.8596999999999992,equivalent,,,,1.7210333333333327,,,
size,emp_m_size,m=1.0|size=150,atc,edd,120,120,,204.77357333333336,0.23333333333333334,0.0,0.7,equivalent,,,,0.7,,,
size,emp_m_size,m=1.0|size=150,wmdd,edd,120,120,,204.77357333333336,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=1.0|size=150,lpt,edd,120,120,,204.77357333333336,0.08333333333333333,0.0,0.25,equivalent,,,,0.25,,,
size,emp_m_size,m=1.0|size=150,random,edd,120,120,,204.77357333333336,0.5448866666666665,0.0026666666666666098,1.4871066666666664,equivalent,,,,1.4844399999999998,,,
size,emp_m_size,m=1.0|size=150,mlp_pool,edd,120,120,,204.77357333333336,0.0,-2.842170943040401e-15,2.842170943040401e-15,equivalent,,,,5.684341886080802e-15,,,
size,emp_m_size,m=1.0|size=150,attn_pool,edd,120,120,,204.77357333333336,0.1261333333333338,0.0011333333333333343,0.3645450000000012,equivalent,,,,0.36341166666666785,,,
size,emp_m_size,m=1.0|size=150,v1_pool,edd,120,120,,204.77357333333336,-1.8947806286936005e-15,-5.684341886080802e-15,0.0,equivalent,,,,5.684341886080802e-15,,,
size,emp_m_size,m=1.0|size=150,rollcp2,edd,32,32,,267.40195,0.01741249999999983,0.005962187500001637,0.033924999999999164,equivalent,,,,0.027962812499997526,,,
size,emp_m_size,m=1.0|size=400,pfifo,edd,60,60,,925.0596366666668,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=1.0|size=400,wspt,edd,60,60,,925.0596366666668,3.777726666666672,1.4915095000000065,6.594321999999997,equivalent,,,,5.102812499999991,,,
size,emp_m_size,m=1.0|size=400,atc,edd,60,60,,925.0596366666668,1.5919999999999979,0.3265000000000005,3.2737238333333267,equivalent,,,,2.947223833333326,,,
size,emp_m_size,m=1.0|size=400,wmdd,edd,60,60,,925.0596366666668,1.3891866666666752,0.31551999999999986,2.753560000000016,equivalent,,,,2.4380400000000164,,,
size,emp_m_size,m=1.0|size=400,lpt,edd,60,60,,925.0596366666668,1.9623466666666636,-0.30914766666667653,6.051493500000005,equivalent,,,,6.360641166666682,,,
size,emp_m_size,m=1.0|size=400,random,edd,60,60,,925.0596366666668,3.251643333333321,0.8943823333333284,6.975453999999988,equivalent,,,,6.081071666666659,,,
size,emp_m_size,m=1.0|size=400,mlp_pool,edd,60,60,,925.0596366666668,-0.29895999999999007,-0.7763039166666542,0.06701865000003218,equivalent,,,,0.8433225666666864,,,
size,emp_m_size,m=1.0|size=400,attn_pool,edd,60,60,,925.0596366666668,0.9446866666666771,0.04945343333331915,2.1588814833333365,equivalent,,,,2.1094280500000173,,,
size,emp_m_size,m=1.0|size=400,v1_pool,edd,60,60,,925.0596366666668,-0.1772222222222273,-0.5901185000000007,0.23486877777776974,equivalent,,,,0.8249872777777704,,,
size,emp_m_size,m=1.0|size=400,rollcp2,edd,16,16,,982.6792375,-0.09361249999996346,-0.4620381249999695,0.1137756250001221,equivalent,,,,0.5758137500000916,,,
size,emp_m_size,m=0.8|size=150,pfifo,edd,120,120,,204.78543666666667,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=0.8|size=150,wspt,edd,120,120,,204.78543666666667,1.2754466666666666,0.4664244999999998,2.473243333333333,inconclusive,,,,2.006818833333333,,,
size,emp_m_size,m=0.8|size=150,atc,edd,120,120,,204.78543666666667,0.4411133333333334,0.0,1.2822266666666668,equivalent,,,,1.2822266666666668,,,
size,emp_m_size,m=0.8|size=150,wmdd,edd,120,120,,204.78543666666667,0.04111333333333344,0.0,0.12334000000000031,equivalent,,,,0.12334000000000031,,,
size,emp_m_size,m=0.8|size=150,lpt,edd,120,120,,204.78543666666667,0.6333333333333333,0.0,1.6833333333333333,equivalent,,,,1.6833333333333333,,,
size,emp_m_size,m=0.8|size=150,random,edd,120,120,,204.78543666666667,1.10152,0.19085333333333335,2.4614139999999995,inconclusive,,,,2.270560666666666,,,
