id,cluster,source,arm,campus,track,regime,size,crew_multiplier,crew_q,n_technicians,window_bh,n_trades,n_trades_active,n_trades_no_crew,n_fallback_trades,total_p_bh,u_realized,u_recomputed,u_bin,overload_share,ov_band,overload_share_even,overload_excess,max_u_trade,cv_u_weighted,share_trades_over,wwt_edd,wwt_wmdd,wwt_atc,wwt_min_common,argmin_method,d_wmdd,d_atc,rel_d_wmdd,rel_d_atc
c05_final_150_0009_q75,c05_final_150_0009,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,4.9972,11,8,0,0,426.2,2.132194,2.1321940286560475,>=1.2,0.9760675739089629,>=0.75,0.983106522759268,-0.007038948850305093,9.105098855359001,0.5662049338548774,0.625,18.754400000000004,30.754400000000004,16.754400000000004,16.754400000000004,atc,-12.0,2.0,-0.6398498485688691,0.10664164142814483
c05_final_150_0010_q75,c05_final_150_0010,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,8.8083,11,8,0,0,529.2,1.501992,1.5019924389496273,>=1.2,0.9253590325018896,>=0.75,0.9886621315192744,-0.06330309901738485,2.667938194657312,0.294335203577724,0.375,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0011_q75,c05_final_150_0011,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,16.0,11,7,0,0,379.5,0.592969,0.59296875,0.5-0.8,0.057971014492753624,<0.25,0.4479578392621871,-0.38998682476943347,1.375,0.2478352172409506,0.14285714285714285,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0012_q75,c05_final_150_0012,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,16.0,11,9,0,0,494.76480000000004,0.77307,0.77307,0.5-0.8,0.735227728407518,0.5-0.75,0.311056890061702,0.42417083834581604,2.5625,0.49712791004060075,0.3333333333333333,21.729600000000005,21.729600000000005,21.729600000000005,21.729600000000005,edd,0.0,0.0,0.0,0.0
c05_final_150_0013_q75,c05_final_150_0013,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,1.3619,11,6,0,0,589.8,10.826786,10.82678610764373,>=1.2,0.9983045100033909,>=0.75,0.9983045100033909,0.0,21.706806667156176,0.3157095827658064,0.8333333333333334,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0014_q75,c05_final_150_0014,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,16.0,11,8,0,0,579.0,0.904687,0.9046875,0.8-1.0,0.8894645941278065,>=0.75,0.8894645941278065,0.0,1.5,0.1983091571997782,0.375,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0015_q75,c05_final_150_0015,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,24.0,11,6,0,0,530.1,0.552188,0.5521875,0.5-0.8,0.0660252782493869,<0.25,0.0660252782493869,0.0,1.4583333333333333,0.3182432667645919,0.16666666666666666,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0016_q75,c05_final_150_0016,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,16.0,11,8,0,0,554.0000000000001,0.865625,0.8656250000000002,0.8-1.0,0.6037906137184116,0.5-0.75,0.6371841155234657,-0.03339350180505407,3.2375,0.5629493243582655,0.375,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0017_q75,c05_final_150_0017,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,13.4025,11,9,0,0,536.8,1.001306,1.0013057265435552,1.0-1.2,0.8947466467958273,>=0.75,0.9431818181818182,-0.04843517138599096,1.8280171609774296,0.22512775118551062,0.3333333333333333,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0018_q75,c05_final_150_0018,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,11.0367,11,7,0,0,470.6,1.065989,1.0659889278498103,1.0-1.2,0.7237569060773481,0.5-0.75,0.9808754781130472,-0.2571185720356991,1.5856188897043502,0.20142093222321172,0.5714285714285714,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
c05_final_150_0019_q75,c05_final_150_0019,cap_q75,q75,5,replay,cap-empirical,150,1.0,0.75,40,15.5669,11,8,0,0,431.59999999999997,0.693137,0.693137361966737,0.5-0.8,0.15871177015755328,<0.25,0.1459684893419833,0.012743280815569968,3.2440627228285654,0.7616792592979228,0.25,0.0,0.0,0.0,0.0,edd,0.0,0.0,,
