scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m,m=0.8,v2rl307,atc,policy-vs-rule,180,180,448.1663633333332,446.29960777777774,-1.8667555555555453,-3.3444967777777697,-0.6294760555555521,4.481663633333333,0.0031429285311656034,0.1854327833387706,equivalent
emp_m,m=0.8,v2rl305,atc,policy-vs-rule,180,180,448.1663633333332,446.3163366666667,-1.8500266666666565,-3.339780888888866,-0.6314207222222146,4.481663633333333,0.002282193441519148,0.14377818681570634,equivalent
emp_m,m=0.8,rl302,atc,policy-vs-rule,180,180,448.1663633333332,446.31804555555556,-1.848317777777769,-3.326143333333319,-0.658034944444442,4.481663633333333,0.0017853777699830878,0.11426417727891762,equivalent
emp_m,m=0.8,v2rl303,atc,policy-vs-rule,180,180,448.1663633333332,446.31832333333347,-1.8480399999999928,-3.2254889999999836,-0.6873815555555572,4.481663633333333,0.0011233790034369743,0.07577454401465913,equivalent
emp_m,m=0.8,v2rl302,atc,policy-vs-rule,180,180,448.1663633333332,446.3246544444444,-1.8417088888888786,-3.2906076111110902,-0.6288908333333296,4.481663633333333,0.002282193441519148,0.14377818681570634,equivalent
emp_m,m=0.8,v2rl310,atc,policy-vs-rule,180,180,448.1663633333332,446.37114777777776,-1.7952155555555473,-3.321291611111089,-0.5539016666666663,4.481663633333333,0.009871788182927657,0.4541022564146722,equivalent
emp_m,m=0.8,rollcp2,atc,optimizer-vs-rule,48,48,507.82965416666667,506.0364666666667,-1.7931874999999977,-4.895887916666661,-0.014438125000000308,5.078296541666667,0.113725149057248,0.113725149057248,equivalent
emp_m,m=0.8,v2rl308,atc,policy-vs-rule,180,180,448.1663633333332,446.4653388888888,-1.7010244444444365,-3.178713722222213,-0.5236727777777801,4.481663633333333,0.0042856952994814864,0.24428463207044473,equivalent
emp_m,m=0.8,rl303,atc,policy-vs-rule,180,180,448.1663633333332,446.59543666666667,-1.5709266666666581,-2.8310242777777583,-0.5328270555555588,4.481663633333333,0.0011233790034369743,0.07577454401465913,equivalent
emp_m,m=0.8,v2rl304,atc,policy-vs-rule,180,180,448.1663633333332,446.63492999999994,-1.5314333333333268,-2.8025152777777733,-0.5064822222222172,4.481663633333333,0.003765222173888809,0.21838288608555093,equivalent
emp_m,m=0.8,edd,atc,rule-vs-rule,180,180,448.1663633333332,446.6359855555555,-1.530377777777769,-2.7720891944444372,-0.5461265555555547,4.481663633333333,0.0023655770533978757,0.02838692464077451,equivalent
emp_m,m=0.8,pfifo,atc,rule-vs-rule,180,180,448.1663633333332,446.6359855555555,-1.530377777777769,-2.7301864444444064,-0.5365563333333154,4.481663633333333,0.0023655770533978757,0.02838692464077451,equivalent
emp_m,m=0.8,v2at305,atc,policy-vs-rule,180,180,448.1663633333332,446.66172555555556,-1.5046377777777673,-3.027923444444435,-0.3005040555555511,4.481663633333333,0.02772031386394524,0.9424906713741382,equivalent
emp_m,m=0.8,v2at310,atc,policy-vs-rule,180,180,448.1663633333332,446.7143077777777,-1.4520555555555468,-2.6647889999999834,-0.4445081666666677,4.481663633333333,0.0042856952994814864,0.24428463207044473,equivalent
emp_m,m=0.8,v2rl306,atc,policy-vs-rule,180,180,448.1663633333332,446.7369966666667,-1.429366666666656,-2.963072277777759,-0.11571222222221923,4.481663633333333,0.015085824244536002,0.6034329697814401,equivalent
emp_m,m=0.8,v2rl309,atc,policy-vs-rule,180,180,448.1663633333332,447.14385666666664,-1.0225066666666573,-1.9660754999999865,-0.2594636111111143,4.481663633333333,0.007169734292803208,0.3656564489329636,equivalent
emp_m,m=0.8,v2at309,atc,policy-vs-rule,180,180,448.1663633333332,447.5261677777778,-0.6401955555555465,-1.3360115555555285,-0.15708444444444214,4.481663633333333,0.007685794055213263,0.3799111541031623,equivalent
emp_m,m=0.8,wmdd,atc,rule-vs-rule,180,180,448.1663633333332,447.546668888889,-0.6196944444444333,-1.3454613611110955,-0.07385294444443716,4.481663633333333,0.05046060861109359,0.25230304305546797,equivalent
