scope_type,scope,method,reference,is_scope_best_ref,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict
emp_m_ubin,m=0.6|u_bin=>=1.2,v2pool,atc,0,policy-vs-rule,53,53,357.41662264150955,350.0224550943397,-7.394167547169808,-15.761513216981125,-0.9496392452830185,3.5741662264150955,0.2023283082009374,0.842651172681641,inconclusive
emp_m_ubin,m=0.6|u_bin=>=1.2,v2pool,edd,0,policy-vs-rule,53,53,351.5063471698113,350.0224550943397,-1.4838920754716836,-4.237493575471629,0.5276462264150874,3.515063471698113,0.9593272374483622,1.0,inconclusive
emp_m_ubin,m=0.6|u_bin=>=1.2,v2pool,rl301,1,policy-vs-policy,53,53,348.7443471698114,350.0224550943397,1.2781079245282896,0.04397757547169467,3.032963132075442,3.487443471698114,0.006874035817356707,0.006874035817356707,equivalent
emp_m_ubin,m=0.6|u_bin=>=1.2,v2pool,wmdd,0,policy-vs-rule,53,53,354.0573924528302,350.0224550943397,-4.0349373584905495,-8.542353084905589,-0.6691339528301931,3.540573924528302,0.1685302345363282,0.842651172681641,inconclusive
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2attnpool,atc,0,policy-vs-rule,52,52,760.5938346153847,760.0454830769231,-0.54835153846153,-1.4843945480769039,0.11094412500001702,7.605938346153847,0.3793746688088797,0.6277544839012941,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2attnpool,edd,0,policy-vs-rule,52,52,757.4608538461539,760.0454830769231,2.584629230769227,0.36903637499997455,5.556225028846153,7.574608538461539,0.019970875425605675,0.11982525255363405,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2attnpool,rl301,1,policy-vs-policy,52,52,756.7845500000002,760.0454830769231,3.260933076923065,0.5824058076923051,6.795942740384586,7.5678455000000024,0.0032045855456292547,0.006409171091258509,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2attnpool,wmdd,0,policy-vs-rule,52,52,759.3210038461538,760.0454830769231,0.7244792307692336,0.04309075961537856,1.6151787884615405,7.593210038461538,0.06267138786896245,0.2506855514758498,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2pool,atc,0,policy-vs-rule,52,52,760.5938346153847,757.3512330769232,-3.242601538461526,-7.3193573461537955,-0.14246907692307698,7.605938346153847,0.03410150850504797,0.17050754252523986,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2pool,edd,0,policy-vs-rule,52,52,757.4608538461539,757.3512330769232,-0.10962076923076908,-1.1823999999999821,1.2879067692307589,7.574608538461539,0.30763534293707706,0.6277544839012941,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2pool,rl301,1,policy-vs-policy,52,52,756.7845500000002,757.3512330769232,0.5666830769230689,-0.8005255000000002,2.6126969615384366,7.5678455000000024,0.9291178274470843,0.9291178274470843,equivalent
emp_m_ubin,m=0.8|u_bin=0.5-0.8,v2pool,wmdd,0,policy-vs-rule,52,52,759.3210038461538,757.3512330769232,-1.9697707692307627,-4.675264076923067,0.17002084615385082,7.593210038461538,0.2092514946337647,0.6277544839012941,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2attnpool,atc,0,policy-vs-rule,24,24,747.8034333333334,747.7894766666667,-0.013956666666621468,-0.664033083333213,0.5375000000000286,7.4780343333333334,0.7531523647659145,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2attnpool,edd,0,policy-vs-rule,24,24,746.9473333333334,747.7894766666667,0.8421433333333385,0.05286666666665596,2.187363333333355,7.469473333333334,0.046399461870904594,0.27839677122542755,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2attnpool,v2at305,1,policy-vs-policy,24,24,746.5306666666667,747.7894766666667,1.258810000000005,0.04869999999998479,3.4040300000000214,7.465306666666667,0.046399461870904594,0.09279892374180919,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2attnpool,wmdd,0,policy-vs-rule,24,24,747.3114,747.7894766666667,0.4780766666666653,0.017966666666644926,1.1228319166666825,7.473114000000001,0.11585149752593009,0.5792574876296505,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2pool,atc,0,policy-vs-rule,24,24,747.8034333333334,746.6765,-1.1269333333332974,-3.358399999999918,0.008333333333350032,7.4780343333333334,0.6001794871405538,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2pool,edd,0,policy-vs-rule,24,24,746.9473333333334,746.6765,-0.2708333333333375,-0.8250000000000449,0.012500000000012909,7.469473333333334,0.892738400944348,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2pool,v2at305,1,policy-vs-policy,24,24,746.5306666666667,746.6765,0.14583333333332918,-4.144832625267251e-15,0.43333333333330454,7.465306666666667,0.13801073756865956,0.13801073756865956,equivalent
emp_m_ubin,m=0.8|u_bin=0.8-1.0,v2pool,wmdd,0,policy-vs-rule,24,24,747.3114,746.6765,-0.6349000000000107,-1.882300000000057,0.008333333333349438,7.473114000000001,0.6001794871405538,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2attnpool,atc,0,policy-vs-rule,13,13,286.9571384615384,282.84831692307694,-4.10882153846153,-10.29682461538463,0.18007384615384384,2.869571384615384,0.625,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2attnpool,edd,0,policy-vs-rule,13,13,282.4146923076923,282.84831692307694,0.43362461538461206,-2.0076184615384487,3.3390338461538316,2.824146923076923,1.0,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2attnpool,rl301,1,policy-vs-policy,13,13,279.9884307692308,282.84831692307694,2.859886153846147,0.02646153846153842,6.81141230769229,2.7998843076923077,0.125,0.25,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2attnpool,wmdd,0,policy-vs-rule,13,13,284.1554,282.84831692307694,-1.3070830769230866,-6.027473846153857,2.7104184615384472,2.841554,0.875,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2pool,atc,0,policy-vs-rule,13,13,286.9571384615384,281.26962769230767,-5.68751076923076,-14.76923076923077,0.0,2.869571384615384,0.5,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2pool,edd,0,policy-vs-rule,13,13,282.4146923076923,281.26962769230767,-1.1450646153846178,-3.3232707692307732,0.0,2.824146923076923,0.5,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2pool,rl301,1,policy-vs-policy,13,13,279.9884307692308,281.26962769230767,1.2811969230769171,0.0,3.8435907692307514,2.7998843076923077,1.0,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=1.0-1.2,v2pool,wmdd,0,policy-vs-rule,13,13,284.1554,281.26962769230767,-2.8857723076923163,-7.226160000000023,0.0,2.841554,0.5,1.0,inconclusive
emp_m_ubin,m=0.8|u_bin=<0.5,v2attnpool,atc,0,policy-vs-rule,61,61,224.5130491803279,224.35600983606557,-0.1570393442622875,-0.6075101639344193,0.09857836065574903,2.245130491803279,0.5001842570707944,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2attnpool,edd,0,policy-vs-rule,61,61,223.97280655737706,224.35600983606557,0.3832032786885346,0.019672131147545457,0.9915731147541176,2.239728065573771,0.043114446783075355,0.25868668069845213,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2attnpool,rl302,1,policy-vs-policy,61,61,223.9403672131148,224.35600983606557,0.41564262295082743,0.019672131147545457,1.1085632786885415,2.239403672131148,0.043114446783075355,0.08622889356615071,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2attnpool,wmdd,0,policy-vs-rule,61,61,224.5601573770492,224.35600983606557,-0.20414754098360474,-0.7521134426229563,0.09857836065574344,2.245601573770492,0.5001842570707944,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2pool,atc,0,policy-vs-rule,61,61,224.5130491803279,223.98018295081968,-0.5328662295081931,-1.5177199999999886,0.0,2.245130491803279,0.17971249487899976,0.8985624743949988,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2pool,edd,0,policy-vs-rule,61,61,223.97280655737706,223.98018295081968,0.007376393442629079,0.0,0.022129180327887236,2.239728065573771,0.31731050786291415,0.9519315235887424,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2pool,rl302,1,policy-vs-policy,61,61,223.9403672131148,223.98018295081968,0.039815737704921944,0.0,0.11944721311476583,2.239403672131148,0.31731050786291415,0.31731050786291415,equivalent
emp_m_ubin,m=0.8|u_bin=<0.5,v2pool,wmdd,0,policy-vs-rule,61,61,224.5601573770492,223.98018295081968,-0.5799744262295102,-1.6590445901639403,0.0,2.245601573770492,0.17971249487899976,0.8985624743949988,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2attnpool,atc,0,policy-vs-rule,30,30,191.53482666666665,191.7284813333333,0.19365466666666675,0.008352000000000004,0.42453333333333415,1.9153482666666666,0.043114446783075355,0.25868668069845213,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2attnpool,edd,0,policy-vs-rule,30,30,191.53482666666665,191.7284813333333,0.19365466666666675,0.008352000000000004,0.42731733333333316,1.9153482666666666,0.043114446783075355,0.25868668069845213,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2attnpool,rl301,1,policy-vs-policy,30,30,191.50986666666668,191.7284813333333,0.21861466666666637,0.035798666666666375,0.4522829333333341,1.915098666666667,0.043114446783075355,0.08622889356615071,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2attnpool,wmdd,0,policy-vs-rule,30,30,191.53482666666665,191.7284813333333,0.19365466666666675,0.010541333333333491,0.4256000000000006,1.9153482666666666,0.043114446783075355,0.25868668069845213,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2pool,atc,0,policy-vs-rule,30,30,191.53482666666665,191.54596266666664,0.011136000000004512,-0.013194666666666703,0.04653333333333783,1.9153482666666666,0.5929800980174267,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2pool,edd,0,policy-vs-rule,30,30,191.53482666666665,191.54596266666664,0.011136000000004512,-0.016458666666662174,0.04653333333333783,1.9153482666666666,0.5929800980174267,1.0,equivalent
emp_m_ubin,m=0.8|u_bin=>=1.2,v2pool,rl301,1,policy-vs-policy,30,30,191.50986666666668,191.54596266666664,0.03609600000000413,0.0,0.08659200000000825,1.915098666666667,0.10880943004054568,0.10880943004054568,equivalent
