scope_type,scope,method,family,n_configs,n_clusters,mean,mean_method,mean_edd,mean_diff_vs_edd,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,in_set_vs_edd,in_equivalence_set,membership,best_method,pct_from_best
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl301,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl302,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl303,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl305,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl306,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl308,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at305,policy-vs-rule,24,24,231.7735833333333,231.77358333333336,231.75553333333335,0.018049999999999972,0.0,0.054149999999999913,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0077883793065802
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at302,policy-vs-rule,24,24,231.78941666666665,231.78941666666665,231.75553333333335,0.03388333333333312,0.0,0.10164999999999935,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0146202909790174
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl310,policy-vs-rule,24,24,231.78965,231.78965000000002,231.75553333333335,0.0341166666666665,0.0,0.1023499999999995,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0147209717826269
emp_m_ubin,m=1.0|u_bin=>=1.2,rl301,policy-vs-rule,24,24,231.81886666666665,231.81886666666665,231.75553333333335,0.06333333333333317,0.0,0.1899999999999995,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.0273276466897607
emp_m_ubin,m=1.0|u_bin=>=1.2,v2rl309,policy-vs-rule,24,24,231.91191666666668,231.91191666666668,231.75553333333335,0.15638333333333296,0.0,0.4510999999999989,2.3175553333333334,0.17971249487899976,1.0,equivalent,1,1,in both,atc,0.0674777128658292
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at306,policy-vs-rule,24,24,232.0472,232.0472,231.75553333333335,0.2916666666666667,0.0,0.875,2.3175553333333334,0.31731050786291415,1.0,equivalent,1,1,in both,atc,0.1258510044923733
emp_m_ubin,m=1.0|u_bin=>=1.2,random,rule-vs-rule,24,24,232.14775,232.14775,231.75553333333335,0.3922166666666662,0.0,0.9260999999999994,2.3175553333333334,0.10880943004054568,0.5440471502027284,equivalent,1,1,in both,atc,0.1692372393553734
emp_m_ubin,m=1.0|u_bin=>=1.2,v2at301,policy-vs-rule,24,24,233.0622,233.0622,231.75553333333335,1.3066666666666666,0.0,2.8900833333333322,2.3175553333333334,0.10880943004054568,1.0,inconclusive,0,0,out of both,atc,0.5638125001258409
emp_m_ubin,m=1.0|u_bin=>=1.2,wspt,rule-vs-rule,24,24,233.3738666666667,233.3738666666667,231.75553333333335,1.6183333333333323,0.5366666666666665,2.8483749999999977,2.3175553333333334,0.027281171477617997,0.163687028865708,inconclusive,0,0,out of both,atc,0.6982932877834226
emp_ubin,u_bin=0.5-0.8,v2rl303,policy-vs-rule,152,103,686.4705381578948,686.4705381578948,687.4565263157896,-0.9859881578947386,-2.153764973544974,-0.11271459231712526,6.874565263157896,0.008598123025862353,0.1633643374913847,equivalent,1,1,in both,v2rl303,0.0
emp_ubin,u_bin=0.5-0.8,rl301,policy-vs-rule,152,103,686.539122368421,686.5391223684211,687.4565263157896,-0.9174039473684189,-1.9868658044766148,-0.1272522387096767,6.874565263157896,0.012264459334142642,0.20849580868042492,equivalent,1,1,in both,v2rl303,0.0099908454498607
