scope_type,scope,family,reference,set_rankable,n_configs,n_clusters,mean_edd,mean_family,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,mean_own,best_family,mean_best,pct_from_best,n_configs_vs_best,n_clusters_vs_best,diff_vs_best,ci_lo_vs_best,ci_hi_vs_best,margin_vs_best,wilcoxon_p_vs_best,verdict_vs_best,in_best_set,seed_n,seed_min_mean,seed_median_mean,seed_max_mean,seed_sd,seed_spread_pct,seed_best,seed_worst
emp_m,m=0.8,wspt,edd,1,180,180,446.6359855555555,450.36247,3.726484444444435,2.182704305555553,5.5673639999999915,4.466359855555555,2.4735962576351706e-07,2.2262366318716536e-06,inconclusive,450.36247000000003,v1_pool,446.3757633333334,0.8931279415566165,180.0,180.0,3.9867066666666626,2.339699944444442,5.937044055555531,4.463757633333334,2.0415700579766923e-08,inconclusive,0.0,,,,,,,,
emp_m,m=0.8,atc,edd,1,180,180,446.6359855555555,448.1663633333332,1.530377777777769,0.5274171666666684,2.756036583333318,4.466359855555555,0.0023655770533978757,0.014193462320387255,equivalent,448.1663633333333,v1_pool,446.3757633333334,0.40114185112303846,180.0,180.0,1.7905999999999964,0.6997683518518544,3.1096038333333262,4.463757633333334,4.8498817042630433e-05,equivalent,1.0,,,,,,,,
emp_m,m=0.8,wmdd,edd,1,180,180,446.6359855555555,447.546668888889,0.9106833333333355,0.32232688888888894,1.6625650277777875,4.466359855555555,0.005033508200606249,0.025167541003031247,equivalent,447.54666888888886,v1_pool,446.3757633333334,0.2623138735875058,180.0,180.0,1.1709055555555634,0.44425413888890025,2.0316537592592696,4.463757633333334,0.0006469159440025263,equivalent,1.0,,,,,,,,
emp_m,m=0.8,lpt,edd,1,180,180,446.6359855555555,455.3309055555556,8.69492,1.1445353055555556,20.200114749999987,4.466359855555555,0.0176206611104818,0.05755279518650492,inconclusive,455.33090555555555,v1_pool,446.3757633333334,2.006189170162192,180.0,180.0,8.955142222222227,1.3072519629629644,20.708313944444445,4.463757633333334,0.0022597509547453627,inconclusive,0.0,,,,,,,,
emp_m,m=0.8,random,edd,1,180,180,446.6359855555555,450.5859366666666,3.949951111111111,1.5798970555555576,7.260414305555555,4.466359855555555,6.9487600923465525e-06,5.559008073877242e-05,inconclusive,450.5859366666667,v1_pool,446.3757633333334,0.9431903967844601,180.0,180.0,4.210173333333339,1.6891287592592719,7.589816962962966,4.463757633333334,1.68609920445769e-06,inconclusive,0.0,,,,,,,,
emp_m,m=0.8,mlp_pool,edd,1,180,180,446.6359855555555,446.48986288888887,-0.1461226666666645,-0.5080279944444414,0.27441538888889094,4.466359855555555,0.2667702324557396,0.5335404649114792,equivalent,446.48986288888887,v1_pool,446.3757633333334,0.025561324096860776,180.0,180.0,0.11409955555556327,-0.21594387222221284,0.5748965037037064,4.463757633333334,0.09847993233824166,equivalent,1.0,10.0,446.2874366666666,446.3479011111111,447.14385666666664,0.2765916601499792,0.19189874722815858,v2rl301,v2rl309
emp_m,m=0.8,attn_pool,edd,1,180,180,446.6359855555555,447.6883984444445,1.0524128888888917,0.3439700055555597,1.952417780555558,4.466359855555555,0.000139005036374323,0.000973035254620261,equivalent,447.6883984444445,v1_pool,446.3757633333334,0.29406504988284393,180.0,180.0,1.3126351111111196,0.5211587101851932,2.2958480259259306,4.463757633333334,8.393977109561893e-08,equivalent,1.0,10.0,446.26811,447.7690611111111,449.8277633333334,1.0126290950518286,0.7976490485357424,v2at302,v2at301
emp_m,m=0.8,v1_pool,edd,1,180,180,446.6359855555555,446.3757633333334,-0.2602222222222278,-0.5545668240740702,-0.004339259259263195,4.466359855555555,0.01438819879662623,0.05755279518650492,equivalent,446.3757633333334,v1_pool,446.3757633333334,0.0,180.0,180.0,0.0,0.0,0.0,4.463757633333334,1.0,equivalent,1.0,3.0,446.2138077777778,446.31804555555556,446.59543666666667,0.19725277846546296,0.08552601516063074,rl301,rl303
emp_m,m=0.8,rollcp2,edd,0,48,48,506.54738333333336,506.0364666666667,-0.5109166666666655,-1.33013729166667,0.06076729166666382,5.065473833333334,0.028524000718169275,0.028524000718169275,equivalent,,,,,,,,,,,,,,,,,,,,,
emp_m,m=0.8,edd,edd,1,180,180,446.6359855555555,446.6359855555555,0.0,0.0,0.0,4.466359855555555,1.0,1.0,reference,446.6359855555556,v1_pool,446.3757633333334,0.058296673699073646,180.0,180.0,0.2602222222222278,0.00571853703703732,0.5490877314814855,4.463757633333334,0.01438819879662623,equivalent,1.0,,,,,,,,
emp_m,m=0.6,pfifo,edd,1,180,180,451.7136088888889,451.7136088888889,0.0,0.0,0.0,4.517136088888889,1.0,1.0,equivalent,451.7136088888889,v1_pool,450.8719585185185,0.1866717045646226,180.0,180.0,0.8416503703703653,-0.5144788518518449,2.2946924814814946,4.508719585185186,0.06684468354013212,equivalent,1.0,,,,,,,,
emp_m,m=0.6,wspt,edd,1,180,180,451.7136088888889,463.7768022222222,12.063193333333338,6.457269861111109,18.99051905555556,4.517136088888889,1.3715752508367479e-09,1.234417725753073e-08,worse,463.7768022222222,v1_pool,450.8719585185185,2.862197007351405,180.0,180.0,12.9048437037037,7.018207925925917,19.786336120370365,4.508719585185186,3.212545933261972e-10,worse,0.0,,,,,,,,
emp_m,m=0.6,atc,edd,1,180,180,451.7136088888889,456.44054111111114,4.726932222222232,1.8405593333333345,8.070829722222243,4.517136088888889,0.00011890609974290849,0.00047562439897163395,inconclusive,456.44054111111114,v1_pool,450.8719585185185,1.2350696217369477,180.0,180.0,5.568582592592598,2.3193860740740746,9.311428138888914,4.508719585185186,2.8202631770611356e-05,inconclusive,0.0,,,,,,,,
