scope_type,scope,method,reference,family,n_configs,n_clusters,mean_ref,mean_method,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,holm_p,verdict,regime,crew_multiplier,u_bin
scope,regime=final-empirical|crew_multiplier=0.8,v2rl307,wmdd,policy-vs-rule,180,180,447.546668888889,446.29960777777774,-1.2470611111111118,-2.340761222222218,-0.3470708611111078,4.47546668888889,0.007598223082063245,0.15956268472332816,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl308,wmdd,policy-vs-rule,180,180,447.546668888889,446.4653388888888,-1.0813300000000032,-2.0882703888888976,-0.2482432500000061,4.47546668888889,0.018566712279734197,0.25993397191627876,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl309,wmdd,policy-vs-rule,180,180,447.546668888889,447.14385666666664,-0.402812222222224,-0.9173608888888904,0.015038694444444773,4.47546668888889,0.038607051842430073,0.4255764901684467,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=0.8,v2rl310,wmdd,policy-vs-rule,180,180,447.546668888889,446.37114777777776,-1.1755211111111141,-2.2564491944444467,-0.28208175000000185,4.47546668888889,0.042833322418377666,0.4255764901684467,equivalent,final-empirical,0.8,
scope,regime=final-empirical|crew_multiplier=1.0,atc,edd,rule-vs-rule,227,227,461.5920872246697,457.70226696035246,-3.889820264317182,-13.903190660792957,3.4437869823788523,4.615920872246697,0.06735455698601128,0.471481898902079,inconclusive,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,lpt,edd,rule-vs-rule,227,227,461.5920872246697,559.7954599118943,98.20337268722464,34.363890572687225,179.0145011674008,4.615920872246697,0.00021585416449994166,0.0025902499739993,worse,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,pfifo,edd,rule-vs-rule,227,227,461.5920872246697,461.5920872246697,0.0,0.0,0.0,4.615920872246697,1.0,1.0,equivalent,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,random,edd,rule-vs-rule,227,227,461.5920872246697,487.1499753303964,25.557888105726867,8.175722797356823,47.67215953744493,4.615920872246697,5.208206933577534e-06,8.333131093724055e-05,worse,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,wmdd,edd,rule-vs-rule,227,227,461.5920872246697,454.9875286343612,-6.604558590308373,-18.327992643171807,1.5805322466960279,4.615920872246697,0.40804420568711997,1.0,inconclusive,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,wspt,edd,rule-vs-rule,227,227,461.5920872246697,461.6134149779736,0.021327753303961597,-10.625597400881059,8.198982356828187,4.615920872246697,1.9442314625220738e-05,0.0002916347193783111,inconclusive,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,rollcp2,edd,optimizer-vs-rule,64,64,526.9296218750001,513.9609875000001,-12.968634374999997,-38.51416929687499,4.215603984375011,5.269296218750001,0.009687010549965545,0.0259184403139162,inconclusive,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl301,edd,policy-vs-rule,227,227,461.5920872246697,501.93781850220273,40.34573127753304,9.604007312775328,79.82978797356826,4.615920872246697,0.03325039468686109,0.7980094724846662,worse,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl302,edd,policy-vs-rule,227,227,461.5920872246697,469.6157585903084,8.023671365638764,-1.1878879515418552,18.263021519823777,4.615920872246697,0.2626806690239226,1.0,inconclusive,final-empirical,1.0,
scope,regime=final-empirical|crew_multiplier=1.0,v2rl303,edd,policy-vs-rule,227,227,461.5920872246697,525.9161312775332,64.32404405286344,22.876727268722465,115.85656969162993,4.615920872246697,0.009996388475979442,0.2699024888514449,worse,final-empirical,1.0,
