scope_type,scope,method,n_rows,coverage,mean,best_method,mean_best,n_configs,n_clusters,mean_diff,ci_lo,ci_hi,margin,wilcoxon_p,verdict,in_equivalence_set,regime,crew_multiplier,u_bin
u_bin,u_bin=0.5-0.8,v2rl304,223,1.0,1084.9928358744394,rollcp2,789.3171877551022,49,31,1.1155346938775508,-0.13389414893617863,3.0480168222222264,7.89317187755102,0.15278469551668128,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl305,223,1.0,1084.466405381166,rollcp2,789.3171877551022,49,31,-0.5023183673469512,-1.9389904705882661,0.4173067443203246,7.89317187755102,0.03679125414364294,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl306,223,1.0,1084.4686977578476,rollcp2,789.3171877551022,49,31,-0.43345306122449906,-1.3342770454545576,0.12769347576531298,7.89317187755102,0.001960788137846085,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl307,223,1.0,1084.5366188340806,rollcp2,789.3171877551022,49,31,0.1884408163265255,-0.21018150000001562,0.6010434124386261,7.89317187755102,0.01317720831862536,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl308,223,1.0,1084.5641695067263,rollcp2,789.3171877551022,49,31,-0.2604081632653156,-1.3196334000000205,0.6023157989578674,7.89317187755102,0.009258011526994538,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl309,223,1.0,1085.5681255605382,rollcp2,789.3171877551022,49,31,1.7466285714285679,-0.17991491071427534,5.367546900000009,7.89317187755102,0.05188726062365605,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,v2rl310,223,1.0,1084.459531838565,rollcp2,789.3171877551022,49,31,-0.40760816326530724,-1.9074859541666738,0.6259221428571289,7.89317187755102,0.038686988083117275,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,wmdd,223,1.0,1086.5399264573991,rollcp2,789.3171877551022,49,31,2.6479632653061205,-0.03954159090909442,7.3995548191489355,7.89317187755102,0.05705707996461743,equivalent,1,,,0.5-0.8
u_bin,u_bin=0.5-0.8,wspt,223,1.0,1091.7592475336323,rollcp2,789.3171877551022,49,31,9.036432653061215,1.9558426595744725,21.377549619148937,7.89317187755102,0.00981843545065096,inconclusive,0,,,0.5-0.8
u_bin,u_bin=0.8-1.0,atc,166,1.0,2024.128773493976,rollcp2,836.5752799999999,15,15,7.678786666666631,-0.20420000000001626,22.279678666666605,8.3657528,0.6744240722352938,inconclusive,0,,,0.8-1.0
u_bin,u_bin=0.8-1.0,edd,166,1.0,2014.2897024096385,rollcp2,836.5752799999999,15,15,2.261973333333289,-0.20535000000003548,6.099213333333279,8.3657528,0.6744240722352938,equivalent,1,,,0.8-1.0
u_bin,u_bin=0.8-1.0,lpt,166,1.0,12420.878290361446,rollcp2,836.5752799999999,15,15,56.31674666666666,5.76754666666662,134.16192533333341,8.3657528,0.1386406338132186,inconclusive,0,,,0.8-1.0
u_bin,u_bin=0.8-1.0,pfifo,166,1.0,2014.2897024096385,rollcp2,836.5752799999999,15,15,2.261973333333289,-0.20412200000001365,5.959579333333256,8.3657528,0.6744240722352938,equivalent,1,,,0.8-1.0
u_bin,u_bin=0.8-1.0,random,166,1.0,3716.1849204819273,rollcp2,836.5752799999999,15,15,16.974399999999946,0.6363913333333211,45.2941399999999,8.3657528,0.2626182904425206,inconclusive,0,,,0.8-1.0
u_bin,u_bin=0.8-1.0,rollcp2,15,0.09036144578313253,836.5752799999999,rollcp2,836.5752799999999,15,15,0.0,0.0,0.0,8.3657528,1.0,equivalent,1,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl301,166,1.0,2009.786095180723,rollcp2,836.5752799999999,15,15,0.23547999999996705,-0.6150666666666514,1.4177919999998403,8.3657528,0.32698934959801507,equivalent,1,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl302,166,1.0,2009.8831530120483,rollcp2,836.5752799999999,15,15,-0.35529333333339347,-1.0313573333333903,0.3291766666664952,8.3657528,0.09289194088370532,equivalent,1,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl303,166,1.0,2078.769345783133,rollcp2,836.5752799999999,15,15,-0.35529333333339347,-1.02860200000002,0.3305386666665814,8.3657528,0.09289194088370532,equivalent,1,,,0.8-1.0
u_bin,u_bin=0.8-1.0,v2rl304,166,1.0,2012.2542879518076,rollcp2,836.5752799999999,15,15,2.2826266666666224,-0.17311033333336312,6.8827196666666755,8.3657528,0.779434528427275,equivalent,1,,,0.8-1.0
