update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
397,-2.444358,410.680213,0.673348,1.551909,1.231
398,-4.033227,410.680213,0.342899,1.200922,1.430
399,-2.582108,410.680213,0.734147,0.674895,1.150
400,-1.217082,410.680213,0.739963,0.471061,2.360
401,-2.270994,410.680213,0.681983,0.909765,1.095
402,-1.573026,410.680213,0.687933,0.773549,1.271
403,-1.988362,410.680213,0.677945,0.547431,1.024
404,-2.016192,410.680213,0.573929,0.425843,1.280
405,-2.394968,410.680213,0.434473,1.053898,1.037
406,-2.285391,410.680213,0.765800,1.448435,1.339
407,-2.725856,410.680213,0.557051,1.046961,0.990
408,-1.859564,410.680213,0.640102,0.574715,1.286
409,-4.693518,410.680213,0.587731,1.950763,1.072
410,-3.642925,410.680213,0.572019,1.710010,1.271
411,-3.124114,410.680213,0.606726,1.200204,1.161
412,-3.459189,410.680213,0.471677,0.731650,1.443
413,-3.304914,410.680213,0.445781,1.461825,1.076
414,-2.905740,410.680213,0.523588,1.248473,1.390
415,-3.014901,410.680213,0.416104,1.284571,1.067
416,-1.540302,410.680213,0.469977,0.863377,1.238
417,-2.948516,410.680213,0.603695,0.978124,0.978
418,-2.972450,410.680213,0.836707,1.858679,1.293
419,-6.466465,410.680213,0.573131,3.951375,0.940
420,-2.764140,410.086463,0.708859,1.077045,2.302
421,-2.674406,410.086463,0.891733,1.666776,0.984
422,-3.268070,410.086463,0.684467,1.540906,1.226
423,-1.679378,410.086463,0.633949,0.973539,1.008
424,-3.282533,410.086463,0.904571,1.515064,1.315
425,-3.263136,410.086463,0.442495,1.703685,0.927
426,-1.587070,410.086463,0.357198,0.829596,1.199
427,-2.352834,410.086463,0.754297,1.015821,1.019
428,-2.842185,410.086463,0.636157,1.144668,1.215
429,-2.187938,410.086463,0.720372,1.612873,1.004
430,-3.281304,410.086463,0.614851,0.930472,1.096
431,-3.649048,410.086463,0.711861,1.740560,1.037
432,-4.054738,410.086463,0.608101,1.679187,1.181
433,-2.782936,410.086463,0.519913,1.407920,0.954
434,-5.261733,410.086463,0.622118,2.693976,1.209
435,-2.432667,410.086463,0.660082,1.621260,1.037
436,-3.527492,410.086463,0.492493,1.822588,1.161
437,-2.842959,410.086463,0.487351,0.920422,0.916
438,-0.655211,410.086463,0.610782,1.432906,1.181
439,-3.494461,410.086463,0.545117,0.768330,0.950
440,-1.399027,410.711463,0.683826,1.182926,2.225
441,-4.914260,410.711463,0.465920,3.129865,0.938
442,-1.420245,410.711463,0.325394,1.299735,1.142
443,-4.142559,410.711463,0.596942,1.193179,1.010
444,-3.980763,410.711463,0.424656,1.950196,1.147
445,-1.892389,410.711463,0.691175,1.272876,0.982
446,-4.662770,410.711463,0.772338,1.628773,1.186
447,-5.474927,410.711463,0.572650,2.841007,0.935
448,-2.564974,410.711463,0.691747,1.522503,1.174
449,-2.119611,410.711463,0.568325,1.088197,0.949
450,-5.514676,410.711463,0.672429,2.841700,1.179
451,-3.182449,410.711463,0.646386,1.438696,0.965
452,-1.691045,410.711463,0.643891,1.095687,1.182
453,-3.312460,410.711463,0.539770,1.164221,0.973
454,-1.895240,410.711463,0.377310,0.949436,1.159
455,-2.644094,410.711463,0.435551,1.462764,0.971
456,-2.141749,410.711463,0.494691,1.246093,1.164
457,-2.522007,410.711463,0.741138,1.016824,0.963
458,-4.685128,410.711463,0.530297,2.098115,1.002
459,-5.395803,410.711463,0.395077,2.220162,0.924
460,-4.816006,410.086463,0.617079,2.341325,2.206
461,-2.172318,410.086463,0.754675,1.143777,1.086
462,-4.439986,410.086463,0.551147,1.824087,1.187
463,-1.124325,410.086463,0.802132,1.584341,1.022
464,-2.983694,410.086463,0.732369,0.723347,1.222
465,-2.741834,410.086463,0.594450,1.111517,1.155
466,-4.264040,410.086463,0.477836,4.830413,1.374
467,-2.609671,410.086463,0.742259,1.864770,1.201
